Compound_ID,Molecular_Weight,H_Bond_Donors,H_Bond_Acceptors,Polar_Surface_Area,Number_of_Rings,Rotatable_Bonds,Antibiotic_Effectiveness,Drug_Efficacy,Antibiotic_Category,Drug_Category
Compound_19,245.61457009902097,7,7,74.13997805148267,2,9,0.5083830202727184,0.6414483114815184,High_Potency,Effective
Compound_20,405.92644736118973,2,1,178.60604101781055,1,10,0.4287361963851955,0.3114854609758662,Low_Potency,Less_Effective
Compound_21,169.7469303260209,7,9,189.75132063048275,2,0,0.349014225556064,0.40237491631928063,Low_Potency,Less_Effective
Compound_22,246.07232426760908,0,8,25.628991016618613,1,8,0.17471408656469045,0.28306851868289257,Low_Potency,Less_Effective
Compound_23,283.18092164684583,8,6,128.46361605169193,2,10,0.37191594806855205,0.4877708479480102,Low_Potency,Less_Effective
Compound_24,328.03499210851794,8,5,127.22263889776397,2,6,0.37670058473792833,0.3736339578771429,Low_Potency,Less_Effective
Compound_25,492.5879806965068,4,0,92.32019255388526,4,6,0.5351428500083609,0.34548631399516405,High_Potency,Less_Effective
Compound_26,199.83689107917985,9,0,233.23121564241802,2,11,0.48593171940813773,0.29956549309602387,Low_Potency,Less_Effective
Compound_27,357.1172192068058,3,1,206.8765799683053,3,4,0.57456943892305,0.3176374651041371,High_Potency,Less_Effective
Compound_28,396.2072844310212,5,5,174.3023454774092,2,6,0.4266365530064143,0.3628916712524763,Low_Potency,Less_Effective
Compound_29,123.22520635999886,6,5,178.5816589337494,1,11,0.30702713892666456,0.24304291616129925,Low_Potency,Less_Effective
Compound_30,403.7724259507192,4,1,115.42903595327978,2,14,0.35091167554816954,0.3184568627677061,Low_Potency,Less_Effective
Compound_31,185.26206184364577,9,0,230.24863027414398,0,1,0.3448115912724175,0.16739781299813566,Low_Potency,Less_Effective
Compound_32,132.52579649263976,8,9,173.64885681332134,5,13,0.5299578068919694,0.31630338161842564,High_Potency,Less_Effective
Compound_33,574.4427686266666,2,4,182.24526541395412,1,12,0.7082554297725787,0.6233593414028294,High_Potency,Effective
Compound_34,582.8160165372797,6,4,215.42272594683632,0,3,0.5455234651694938,0.5677918094369248,High_Potency,Effective
Compound_35,504.19867405823055,9,1,68.51789733554774,1,13,0.43553072719671954,0.5502712858878924,Low_Potency,Effective
Compound_36,252.30688458668536,9,5,201.76772596667575,3,13,0.4430352746959742,0.36922479325606444,Low_Potency,Less_Effective
Compound_37,148.83605700319194,4,8,48.81015073912301,5,6,0.20882615966618967,0.4301052791371249,Low_Potency,Less_Effective
Compound_38,442.11651325607846,6,1,86.33548806122197,5,2,0.6584383490344303,0.3006138610272604,High_Potency,Less_Effective
Compound_39,320.0762468698007,1,9,83.90261356746068,3,1,0.2253121623128797,0.27330142201270136,Low_Potency,Less_Effective
Compound_40,161.0191174223894,3,1,244.63136709728514,5,9,0.3610213056334021,0.21897332783626516,Low_Potency,Less_Effective
Compound_41,347.5884550556351,1,2,214.13430593698172,3,1,0.2910662470623057,0.3437387078355627,Low_Potency,Less_Effective
Compound_42,117.1942605576092,6,6,175.29246539756494,0,12,0.34819597998316365,0.2906880755973935,Low_Potency,Less_Effective
Compound_43,554.660201039391,1,5,181.76419040384752,4,0,0.5026851632943415,0.5575917088566245,High_Potency,Effective
Compound_44,229.38999080000846,0,7,140.51819860064276,1,4,0.13005834336692906,0.26922738734490725,Low_Potency,Less_Effective
Compound_45,431.261142176991,8,7,236.77266677712976,3,11,0.5257657447783913,0.5107527754161079,High_Potency,Effective
Compound_46,255.85553804470547,0,5,124.06468822059038,1,5,0.39713952331904745,0.2326291237778117,Low_Potency,Less_Effective
Compound_47,360.0340105889054,7,9,95.12942746747363,0,5,0.39939132289530843,0.5550602940834065,Low_Potency,Effective
Compound_48,373.35513967163985,1,2,40.75883423289775,4,8,0.31611984343353455,0.39024583610550634,Low_Potency,Less_Effective
Compound_49,192.42722776276352,7,2,196.55141306526448,0,3,0.40402012683619953,0.11030862373411159,Low_Potency,Less_Effective
Compound_50,584.7923138822794,2,0,183.61098301889785,5,0,0.702080815510709,0.35024050836007586,High_Potency,Less_Effective
Compound_51,487.5664116805573,5,6,96.08875963103372,1,5,0.3327994439797012,0.20459584233046874,Low_Potency,Less_Effective
Compound_52,569.7494707820945,2,4,6.29835348980734,4,14,0.3569405328319143,0.7242968835347274,Low_Potency,Effective
Compound_53,547.4136752138245,6,3,209.7493319295027,5,4,0.6279431158175967,0.46120111952605225,High_Potency,Less_Effective
Compound_54,398.94998940554257,9,9,2.854495863518408,4,9,0.2763076755312802,0.32534284450270534,Low_Potency,Less_Effective
Compound_55,560.9371175115584,8,3,175.92494490726273,5,5,0.5729276963567884,0.3549566008752974,High_Potency,Less_Effective
Compound_56,144.24625102595974,1,3,242.56427743151426,0,2,0.390842030186285,0.1406714277615462,Low_Potency,Less_Effective
Compound_57,197.9914312095726,4,5,109.41533203705086,3,1,0.3925493308674387,0.11391054489589802,Low_Potency,Less_Effective
Compound_58,122.61364445526903,5,7,58.74335124898819,1,5,0.31867485740369483,0.36774402867211853,Low_Potency,Less_Effective
Compound_59,262.66516538163216,3,7,176.21775251084543,2,12,0.3067310957796856,0.5169673988535369,Low_Potency,Effective
Compound_60,294.338644844741,3,4,204.28203550389628,2,0,0.35735876014693724,0.31217935758161425,Low_Potency,Less_Effective
Compound_61,235.67451588694794,3,5,136.60757901946184,0,6,0.1083167716552402,0.07668165040316155,Low_Potency,Less_Effective
Compound_62,514.3687545759647,1,3,241.75881881403654,1,6,0.5804515532375092,0.43036666162995374,High_Potency,Less_Effective
Compound_63,278.37666334679466,3,8,12.917180414490275,1,9,0.33585396954826585,0.3958227971702908,Low_Potency,Less_Effective
Compound_64,240.46725484369037,0,7,126.19889957613204,0,12,0.3295848437363116,0.3649060578186682,Low_Potency,Less_Effective
Compound_65,371.34804157912424,5,9,179.61348683063753,1,6,0.6064406022684627,0.4660478329363783,High_Potency,Less_Effective
Compound_66,170.46211248738132,0,9,215.66011778729475,3,14,0.349970009822517,0.3676842542829813,Low_Potency,Less_Effective
Compound_67,501.09849037701986,9,0,44.81390297694751,0,11,0.6220885512247372,0.502254400213035,High_Potency,Effective
Compound_68,137.2753218398854,5,1,200.00087044092035,3,10,0.3585908963568911,0.3215053499937008,Low_Potency,Less_Effective
Compound_69,593.4434683002587,0,8,138.17676892963632,1,9,0.2472287794599501,0.7436673527092064,Low_Potency,Effective
Compound_70,486.1223846483287,5,7,99.1384204974908,0,0,0.5084443964461687,0.4502904645944044,High_Potency,Less_Effective
Compound_71,199.3578407670862,9,2,32.92875714477339,1,14,0.1422996801651589,0.5594958634780745,Low_Potency,Effective
Compound_72,102.7610585618012,7,7,216.3239397272281,0,3,0.38145988601201963,0.3625048838245851,Low_Potency,Less_Effective
Compound_73,507.7307142274171,1,0,39.318302044928835,1,12,0.41751904562874387,0.48833132245102295,Low_Potency,Less_Effective
Compound_74,453.42867192380857,1,9,77.4469648022748,3,6,0.39109778740724377,0.5140585602623874,Low_Potency,Effective
Compound_75,464.50358402049363,3,3,72.51138299060922,3,10,0.6280852054609618,0.6368051056251879,High_Potency,Effective
Compound_76,485.63517334297285,2,2,217.85350854771357,1,8,0.27717416076162615,0.5711815171715886,Low_Potency,Effective
Compound_77,137.0223258670452,3,5,168.1757485522245,0,4,0.25476569452171066,0.10363883019560718,Low_Potency,Less_Effective
Compound_78,279.23286427213634,6,6,199.17034929784307,2,12,0.4540315914329416,0.5747373747709655,Low_Potency,Effective
Compound_79,157.93452976256486,0,3,62.61697469812474,3,1,0.044650563021540884,0.16318566636931706,Low_Potency,Less_Effective
Compound_80,531.5517129377968,5,6,156.21852490174973,3,6,0.4253773973178697,0.4682766555658621,Low_Potency,Less_Effective
Compound_81,411.64906341377895,2,8,142.93649578593718,5,9,0.3589942005863125,0.3565121230184529,Low_Potency,Less_Effective
Compound_82,265.4490124263246,9,1,208.20759419706778,2,0,0.4026591854992236,0.17007438881443626,Low_Potency,Less_Effective
Compound_83,131.77917514301183,6,2,226.52176512031514,1,6,0.37297420131803793,0.20663002490668206,Low_Potency,Less_Effective
Compound_84,255.4911608578311,9,4,3.039192869346702,0,5,0.24988044470917692,0.47572687264957586,Low_Potency,Less_Effective
Compound_85,262.5916610133735,1,2,168.50497976469816,5,6,0.401223986061346,0.3907844881171176,Low_Potency,Less_Effective
Compound_86,464.80308916903203,1,7,12.958949779932254,1,13,0.3443784176954347,0.5649133873084179,Low_Potency,Effective
Compound_87,418.77873567760656,3,9,137.21466626933898,4,12,0.50400566349283,0.6581200632070449,High_Potency,Effective
Compound_88,543.6063712881632,0,7,71.90818226091955,3,9,0.3383171069343416,0.7050291897927246,Low_Potency,Effective
Compound_89,336.10746258097464,2,7,76.6941498805353,4,2,0.3645232808080294,0.399334047189038,Low_Potency,Less_Effective
Compound_90,159.79712296915085,8,8,88.23962586308915,3,14,0.46400315379272006,0.3944826660763135,Low_Potency,Less_Effective
Compound_91,456.6223936114975,6,3,155.32311226240253,3,2,0.5671261447434198,0.3378643501166537,High_Potency,Less_Effective
Compound_92,480.39252430844874,6,4,83.51249141719231,4,6,0.679570691398987,0.5188089899179944,High_Potency,Effective
Compound_93,380.6385987847481,3,4,183.1747626475701,4,12,0.5617436748537656,0.5350571224090035,High_Potency,Effective
Compound_94,485.4835899772805,1,7,101.13184639346743,1,1,0.532154646034927,0.4476935984084992,High_Potency,Less_Effective
Compound_95,346.8977981821954,3,6,17.088300077489656,5,0,0.08121855969341632,0.0893499782827964,Low_Potency,Less_Effective
Compound_96,361.36641469099703,5,8,195.9399606210268,5,8,0.5304361212896765,0.37852533706486896,High_Potency,Less_Effective
Compound_97,313.7705091792748,2,7,71.4395811481765,4,8,0.2883103360796234,0.5178158982807278,Low_Potency,Effective
Compound_98,112.7095633720476,0,1,108.19171989981565,1,6,0.14707685124112146,0.0,Low_Potency,Less_Effective
Compound_99,153.94571349665222,7,9,171.36097080547538,5,6,0.35689902471562585,0.4810485773011563,Low_Potency,Less_Effective
Compound_100,115.71459284336713,4,3,83.114039287178,1,2,0.2606351345565106,0.26742545467609513,Low_Potency,Less_Effective
Compound_101,418.2052056318902,4,5,14.146414036678905,1,9,0.1362507574702136,0.5029131086145807,Low_Potency,Effective
Compound_102,257.17799053816333,3,1,93.4802617532034,3,14,0.35371689095877346,0.4379117637816363,Low_Potency,Less_Effective
Compound_103,354.2853455823514,5,6,236.11214567357587,5,1,0.47219460064531565,0.4224010315574562,Low_Potency,Less_Effective
Compound_104,553.7832369630465,2,2,160.43359932463954,5,10,0.47853322226252476,0.530834845138743,Low_Potency,Effective
Compound_105,224.6461145744375,8,2,167.86978716680173,3,6,0.5004690639772339,0.1323751646241014,High_Potency,Less_Effective
Compound_106,305.1914615178149,4,1,158.07053840940995,4,8,0.43359660093973534,0.42685493851804523,Low_Potency,Less_Effective
Compound_107,477.7755692715243,2,7,49.7480347398592,3,0,0.47407830356829483,0.5992400473193797,Low_Potency,Effective
Compound_108,214.39908274581123,0,5,104.58346602557003,5,12,0.177249296942096,0.2820736694063066,Low_Potency,Less_Effective
Compound_109,138.4899549143965,9,0,187.73494959082956,5,13,0.4746957052414825,0.12453446942596105,Low_Potency,Less_Effective
Compound_110,244.87572645688402,5,0,25.343224388289787,4,3,0.3982564211068556,0.18957079382885528,Low_Potency,Less_Effective
Compound_111,180.61064362700222,1,6,69.46319402242807,3,5,0.2519958514065834,0.2444513028543565,Low_Potency,Less_Effective
Compound_112,564.8488261712865,2,7,69.0797771164634,0,6,0.4202476601250936,0.6110608081347368,Low_Potency,Effective
Compound_113,504.06018978220845,0,4,108.0047318986265,0,9,0.44923816624832885,0.656839530507511,Low_Potency,Effective
Compound_114,416.70187825521174,8,4,245.09218523554625,4,6,0.5904671090957567,0.21323420834289164,High_Potency,Less_Effective
Compound_115,535.7302950938588,7,3,16.875636670955487,3,9,0.4096825691714667,0.6952807252244881,Low_Potency,Effective
Compound_116,501.83603844955724,1,5,129.67524859514876,3,1,0.4822486617941313,0.4072238481120128,Low_Potency,Less_Effective
Compound_117,193.28502944301792,7,5,44.841170503052616,1,13,0.2742389691895088,0.45336791749372807,Low_Potency,Less_Effective
Compound_118,546.2794992449889,8,2,242.66913635243603,5,3,0.8228287488075483,0.5060589166404392,High_Potency,Effective
Compound_119,369.67112095782534,0,8,28.32587618186605,2,4,0.2778069384692445,0.5333148627249965,Low_Potency,Effective
Compound_120,503.72007758203125,4,6,100.90025059039782,4,13,0.4169118379009744,0.6353375287910206,Low_Potency,Effective
Compound_121,548.0456499617467,7,0,184.47124620865154,2,11,0.628771557962242,0.5415864934865058,High_Potency,Effective
Compound_122,259.0017374859319,1,6,176.13860700686132,2,0,0.233475121259535,0.3215700300511616,Low_Potency,Less_Effective
Compound_123,155.02596226383838,3,4,105.68215922348307,4,0,0.38341822201307796,0.12032236143128085,Low_Potency,Less_Effective
Compound_124,213.96758127097084,6,4,86.63104198817956,3,9,0.2065733935712139,0.16683953503692744,Low_Potency,Less_Effective
Compound_125,313.5538943131281,2,1,99.40309463821764,4,2,0.4651726169534233,0.1337840134322326,Low_Potency,Less_Effective
Compound_126,509.00738296124655,4,3,66.06906578965982,2,14,0.4527799285641422,0.575581124024361,Low_Potency,Effective
Compound_127,530.3652916281717,7,5,51.33323467669995,5,14,0.5131264699265117,0.561562862062476,High_Potency,Effective
Compound_128,103.47606526559535,9,9,120.7599243897225,5,9,0.48801272057129663,0.29053443627144343,Low_Potency,Less_Effective
Compound_129,355.37365128878287,2,6,67.13343901690183,5,2,0.40585957460748173,0.5635075387611415,Low_Potency,Effective
Compound_130,308.7055015743895,3,4,71.86541622431253,3,11,0.45488325233245075,0.5183598140489136,Low_Potency,Effective
Compound_131,211.0539052353651,8,8,164.18901586863927,0,7,0.5289843391479407,0.3688283402325794,High_Potency,Less_Effective
Compound_132,159.9326836668414,6,2,242.13433292497305,4,8,0.49556951925669446,0.32049195034343847,Low_Potency,Less_Effective
Compound_133,268.807585701814,0,0,150.90930013984377,5,14,0.2512874974919576,0.32384486324211925,Low_Potency,Less_Effective
Compound_134,571.4548519562595,3,3,19.244866766241568,4,13,0.37363908601316553,0.625375578056156,Low_Potency,Effective
Compound_135,261.60146601037764,3,8,18.895903463516746,5,10,0.2820861005281707,0.5118971755154766,Low_Potency,Effective
Compound_136,359.395310871683,8,3,237.8558052113915,3,11,0.6881544690444642,0.4045029438039342,High_Potency,Less_Effective
Compound_137,451.50947944758894,5,1,74.3226975768334,0,0,0.33957425165151356,0.2524812648780164,Low_Potency,Less_Effective
Compound_138,281.814801189647,8,9,23.01674652061886,0,13,0.28202674576830494,0.6636030493066152,Low_Potency,Effective
Compound_139,585.8910413604804,5,4,149.76114678759538,5,10,0.7809228343703924,0.6653386576267977,High_Potency,Effective
Compound_140,581.2236474710556,5,2,155.91219457256653,3,1,0.5549117282558085,0.215354677151432,High_Potency,Less_Effective
Compound_141,225.89114791268207,4,8,162.12620502967204,1,9,0.2758400156200848,0.3637805056052937,Low_Potency,Less_Effective
Compound_142,348.6242529461927,4,3,66.85050696438533,4,1,0.45212380155068604,0.2276222519946891,Low_Potency,Less_Effective
Compound_143,250.43915490838484,1,5,3.7776710536187585,4,14,0.2092949526677956,0.3915122943910168,Low_Potency,Less_Effective
Compound_144,242.4202471887338,7,1,241.25384236361796,2,3,0.3485866144752381,0.3078537270017121,Low_Potency,Less_Effective
Compound_145,118.4434736772664,7,5,62.72326142277562,3,1,0.4034917542575911,0.19421624591854678,Low_Potency,Less_Effective
Compound_146,404.78216698994845,0,2,169.00657201313686,2,6,0.29622574236888954,0.25089181090774443,Low_Potency,Less_Effective
Compound_147,351.33951161443076,7,8,176.65746746967739,5,12,0.5446876229552482,0.5159048573804257,High_Potency,Effective
Compound_148,125.73937562499468,4,1,152.50185426987142,2,14,0.2913905931829921,0.3446666818449488,Low_Potency,Less_Effective
Compound_149,239.32323211830573,1,8,78.22684855341205,0,8,0.22525321224886885,0.4042509865254951,Low_Potency,Less_Effective
Compound_150,554.1329429833269,1,4,67.77406344101644,4,6,0.19884498165467676,0.46495436687253555,Low_Potency,Less_Effective
Compound_151,219.78094533348622,5,7,149.41707067567577,2,11,0.3292475146606936,0.4663092247628437,Low_Potency,Less_Effective
Compound_152,172.44743604561154,8,1,216.52390840292287,0,5,0.5319265507567142,0.36345087297431544,High_Potency,Less_Effective
Compound_153,344.7263801387815,0,5,236.6834322308489,3,14,0.5382544878432353,0.5626267367217063,High_Potency,Effective
Compound_154,592.8252270553003,5,2,26.476451100939407,2,9,0.3517980695777028,0.6853109693400368,Low_Potency,Effective
Compound_155,221.02763575575023,8,9,38.70715314942996,5,0,0.476872698001934,0.2695903353840098,Low_Potency,Less_Effective
Compound_156,436.0677737029393,7,4,236.1840646957699,5,10,0.5541714964988605,0.5032089713562202,High_Potency,Effective
Compound_157,480.8098076643588,5,7,184.13380708369814,5,9,0.5335920568937429,0.577684673322671,High_Potency,Effective
Compound_158,218.8187719961998,2,9,220.74845620744327,4,8,0.360476380984796,0.44441375640423564,Low_Potency,Less_Effective
Compound_159,464.10817430592977,7,0,50.65815853383579,2,4,0.45679431828390765,0.40679074350871147,Low_Potency,Less_Effective
Compound_160,283.8915663596266,8,4,146.89646777735047,3,10,0.5695996030307799,0.3106974654676067,High_Potency,Less_Effective
Compound_161,416.15291529678973,0,2,175.2848986043684,2,4,0.40809616346813404,0.4355018787492077,Low_Potency,Less_Effective
Compound_162,416.76485538044733,8,3,170.02797136174317,4,5,0.5584582954139005,0.24172130969144323,High_Potency,Less_Effective
Compound_163,367.88734203737926,5,1,102.03792271667453,0,8,0.46230513249585087,0.23834922844091802,Low_Potency,Less_Effective
Compound_164,145.14488502720417,5,8,3.848722922827119,4,12,0.162051948495159,0.6303258668021259,Low_Potency,Effective
Compound_165,517.6512477946189,3,2,145.73151420106578,5,7,0.5110224242447005,0.42742209124852504,High_Potency,Less_Effective
Compound_166,260.3900324858679,0,1,63.27538479490219,0,7,0.28039344691660856,0.3598786234225322,Low_Potency,Less_Effective
Compound_167,193.2592551999271,9,9,112.56356153572258,5,13,0.5029444313409323,0.652001876042647,High_Potency,Effective
Compound_168,120.38757077738197,7,8,239.39525377095433,1,7,0.3617462573276299,0.10214610597374035,Low_Potency,Less_Effective
Compound_169,395.4464715941209,1,6,99.75882941060868,4,0,0.21290128933218727,0.4962555990783183,Low_Potency,Less_Effective
Compound_170,438.7821809211412,0,5,209.95040166610667,4,0,0.48510389753960376,0.4574158145733547,Low_Potency,Less_Effective
Compound_171,108.29391446392808,1,0,47.135151437312786,3,7,0.0039875581915153335,0.3295690044025894,Low_Potency,Less_Effective
Compound_172,356.0465291496405,0,4,168.11512450625722,2,4,0.3245985610440429,0.2525453699332976,Low_Potency,Less_Effective
Compound_173,213.247887598969,0,2,244.25173860973587,0,8,0.41992017461093994,0.4339573907614407,Low_Potency,Less_Effective
Compound_174,422.5863952047249,8,0,25.4732752182342,0,1,0.45134768240713474,0.22111615364288087,Low_Potency,Less_Effective
Compound_175,187.18321450249573,0,3,2.079985556798003,3,8,0.0,0.39693325776266286,Low_Potency,Less_Effective
Compound_176,445.46886905123296,3,1,108.39569815815359,3,11,0.43949614348617105,0.460043809125378,Low_Potency,Less_Effective
Compound_177,293.36767315026873,9,1,23.1563707628418,2,13,0.3466252750584817,0.46598866274369305,Low_Potency,Less_Effective
Compound_178,568.3649943683672,5,2,187.09608741905785,5,7,0.4898209603802184,0.5171302479094269,Low_Potency,Effective
Compound_179,168.7604720729966,6,7,228.63716596213973,2,8,0.4541254317197537,0.1752334896299915,Low_Potency,Less_Effective
Compound_180,270.53317552512925,1,7,108.50524317718971,4,3,0.25956366409191034,0.04830104805570651,Low_Potency,Less_Effective
Compound_181,156.73676062029455,5,6,64.67791053886025,5,0,0.26489063821061903,0.24548272714521213,Low_Potency,Less_Effective
Compound_182,562.3468091392814,6,5,108.60082975165244,1,0,0.5171252468803014,0.4485243689963862,High_Potency,Less_Effective
Compound_183,538.6696766904905,9,8,180.86195446250025,2,4,0.5647692821584303,0.612268546269023,High_Potency,Effective
Compound_184,228.9708138575778,9,3,2.2635403950927446,3,1,0.3558698226315194,0.20076519598736112,Low_Potency,Less_Effective
Compound_185,429.99202301708954,1,0,147.3634973711743,5,13,0.37688765377582406,0.6618024202831752,Low_Potency,Effective
Compound_186,508.6111001006079,1,7,153.32292122184475,2,7,0.3764510742988589,0.5954611128499024,Low_Potency,Effective
Compound_187,377.60040579973116,9,6,159.4220617239839,0,9,0.5956308292086054,0.4470388311082209,High_Potency,Less_Effective
Compound_188,364.82528917800323,6,6,60.5055199952193,1,10,0.4769508908898714,0.5302864994200222,Low_Potency,Effective
Compound_189,220.92614545022585,0,2,178.5131808445317,4,4,0.14907485935314244,0.19774995061202003,Low_Potency,Less_Effective
Compound_190,146.5513839029496,7,3,22.8478715829441,0,4,0.30626127360248534,0.2203272793466985,Low_Potency,Less_Effective
Compound_191,548.6078789766634,2,9,49.8175841167002,0,1,0.4940171072443024,0.4373239005941921,Low_Potency,Less_Effective
Compound_192,550.2090285816653,5,8,219.3675116636205,1,6,0.7230028720287534,0.605947498868483,High_Potency,Effective
Compound_193,416.55072863663395,8,5,184.6807876816416,4,12,0.6347246337188087,0.4899152461542386,High_Potency,Less_Effective
Compound_194,269.5148955243503,5,4,3.436388502836313,3,7,0.1817667727900545,0.2407362678126989,Low_Potency,Less_Effective
Compound_195,274.6047873063304,8,2,62.09406509245005,5,9,0.49330906309521205,0.5406434450114845,Low_Potency,Effective
Compound_196,462.9778394351197,6,8,53.60162074829114,4,12,0.3741116474612678,0.5202783559627299,Low_Potency,Effective
Compound_197,548.5551299762885,8,4,67.70158200924314,2,0,0.48747564731320675,0.44639984232838614,Low_Potency,Less_Effective
Compound_198,543.5432121325587,1,4,61.8899425699716,0,1,0.37959177582673853,0.3754146712601634,Low_Potency,Less_Effective
Compound_199,489.9377729288119,7,3,15.631573935711435,2,9,0.3503315442844345,0.5363291290405288,Low_Potency,Effective
Compound_200,421.01582307714386,7,3,114.73512914920508,3,3,0.37765598418615753,0.2532387019378709,Low_Potency,Less_Effective
Compound_201,142.06998249752442,1,0,183.1833686965413,2,4,0.3174923513884109,0.23208233739190476,Low_Potency,Less_Effective
Compound_202,180.81435704730688,3,6,151.68293117935912,4,12,0.5251426105650389,0.6041585233340888,High_Potency,Effective
Compound_203,549.2770942635395,6,8,168.21791714951993,2,1,0.6868696472326655,0.4555641391322927,High_Potency,Less_Effective
Compound_204,403.21452982979497,3,2,20.287294634059787,3,0,0.3985557191271548,0.4305065728213287,Low_Potency,Less_Effective
Compound_205,104.59852580831482,3,1,237.8726775441968,3,8,0.4505159484984882,0.15821108276597423,Low_Potency,Less_Effective
Compound_206,150.73577143301605,5,2,209.62295846075622,3,13,0.4568382022033046,0.4644029597296193,Low_Potency,Less_Effective
Compound_207,431.7508845540279,9,0,201.27257962391568,4,0,0.6685501955837525,0.5066838216456178,High_Potency,Effective
Compound_208,102.53079192310935,5,5,205.74595126044187,3,12,0.45572394092977286,0.30498336011122706,Low_Potency,Less_Effective
Compound_209,180.40402570874932,9,6,233.17762703319033,0,14,0.31990780527552465,0.27490940904970107,Low_Potency,Less_Effective
Compound_210,374.3668946832931,2,1,136.06349152842444,3,3,0.40598277050867737,0.4043863685324711,Low_Potency,Less_Effective
Compound_211,445.94759884634664,8,7,50.07050446690647,2,1,0.4482687157056475,0.4730734533586427,Low_Potency,Less_Effective
Compound_212,425.9806297513003,9,5,154.1959019631353,5,10,0.6075706528939481,0.5674995366119643,High_Potency,Effective
Compound_213,212.1346547302799,1,3,185.72037341698476,2,3,0.2618397379573821,0.20743859896908345,Low_Potency,Less_Effective
Compound_214,456.08961067376794,5,4,184.47934833850636,5,7,0.6110104018184456,0.38894379191644207,High_Potency,Less_Effective
Compound_215,218.62454374840001,6,7,130.36225604172003,2,7,0.2851426090721486,0.49511784726229746,Low_Potency,Less_Effective
Compound_216,262.69984907963385,8,2,17.114679833394515,4,14,0.31832284213399575,0.43377889884202586,Low_Potency,Less_Effective
Compound_217,473.24570255901205,2,2,92.77823460753196,2,10,0.31879078093365487,0.3444747649543022,Low_Potency,Less_Effective
Compound_218,424.81644952360733,9,3,230.19165211583933,4,11,0.7296228768481287,0.5585651553360277,High_Potency,Effective
Compound_219,524.611705247089,2,0,146.1122274393565,4,8,0.484689950920777,0.5050246632947094,Low_Potency,Effective
Compound_220,428.80644615017167,6,8,134.58298581392836,3,12,0.44598637774655225,0.5733410716677582,Low_Potency,Effective
Compound_221,384.1543016677358,3,7,67.21337859554838,0,14,0.2685048842086885,0.7447508578693894,Low_Potency,Effective
Compound_222,146.83738391404623,7,7,92.11222997914473,5,10,0.370829870941713,0.3094076063746377,Low_Potency,Less_Effective
Compound_223,283.85790152971674,6,9,223.83652228829231,3,14,0.6532156604824776,0.5390066178709937,High_Potency,Effective
Compound_224,232.60118384086272,4,5,166.61576188170892,3,11,0.2559411677911313,0.47859893135739495,Low_Potency,Less_Effective
Compound_225,221.9948216895418,6,6,196.84675668808322,4,4,0.5226924826298827,0.3290061761594334,High_Potency,Less_Effective
Compound_226,586.5052773762228,2,5,113.58635576691378,4,6,0.5379746237714099,0.4325612028149717,High_Potency,Less_Effective
